"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11106","Verify Product in Cart","chromium","2026-07-09","passed","2026-07-09","","cart.spec.js","",""
"","5854","has title","chromium","2026-07-09","passed","2026-07-09","","example.spec.js","",""
"","8158","get started link","firefox","2026-07-09","passed","2026-07-09","","example.spec.js","",""
"","11995","Verify Product in Cart","webkit","2026-07-09","passed","2026-07-09","","cart.spec.js","",""
"","5656","Carousel next/previous changes the active slide","chromium","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","12031","Delete Product","webkit","2026-07-09","passed","2026-07-09","","cart.spec.js","",""
"","12682","Verify Product Details","firefox","2026-07-09","passed","2026-07-09","","product.spec.js","",""
"","9648","Carousel next/previous changes the active slide","webkit","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","5434","Verify Home Page","chromium","2026-07-09","passed","2026-07-09","","home.spec.js","",""
"","8506","Valid Login","chromium","2026-07-09","passed","2026-07-09","","login.spec.js","",""
"","11030","Delete Product","firefox","2026-07-09","passed","2026-07-09","","cart.spec.js","",""
"","8570","Add Product to Cart","chromium","2026-07-09","passed","2026-07-09","","Addcartpage.spec.js","",""
"","9255","Verify Product Details","chromium","2026-07-09","passed","2026-07-09","","product.spec.js","",""
"","8692","Cart link navigates to cart page","webkit","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","9368","Valid Login","webkit","2026-07-09","passed","2026-07-09","","login.spec.js","",""
"","7944","About Us modal opens and closes","webkit","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","4336","Filter by Phones","chromium","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","14785","Cart link navigates to cart page","firefox","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","5333","has title","webkit","2026-07-09","passed","2026-07-09","","example.spec.js","",""
"","29087","Complete Purchase","webkit","2026-07-09","passed","2026-07-09","","checkout.spec.js","",""
"","17996","Complete Purchase","chromium","2026-07-09","passed","2026-07-09","","checkout.spec.js","",""
"","4856","Home link and logo are visible","webkit","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","12677","Add Product to Cart","webkit","2026-07-09","passed","2026-07-09","","Addcartpage.spec.js","",""
"","4915","Filter by Phones","firefox","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","5608","Filter by Phones","webkit","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","5858","get started link","webkit","2026-07-09","passed","2026-07-09","","example.spec.js","",""
"","17264","Verify Product in Cart","firefox","2026-07-09","passed","2026-07-09","","cart.spec.js","",""
"","14258","Valid Login","firefox","2026-07-09","passed","2026-07-09","","login.spec.js","",""
"","4820","get started link","chromium","2026-07-09","passed","2026-07-09","","example.spec.js","",""
"","6260","Filter by Monitors","firefox","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","8634","Verify Product Details","webkit","2026-07-09","passed","2026-07-09","","product.spec.js","",""
"","9566","Contact modal opens and closes","webkit","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","6229","Carousel next/previous changes the active slide","firefox","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","4797","has title","firefox","2026-07-09","passed","2026-07-09","","example.spec.js","",""
"","6180","About Us modal opens and closes","firefox","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","5834","Filter by Monitors","webkit","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","28866","End-to-End Purchase Flow","firefox","2026-07-09","passed","2026-07-09","","smoke.spec.js","",""
"","6063","Filter by Laptops","firefox","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","4124","Cart link navigates to cart page","chromium","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","5064","Verify Home Page","webkit","2026-07-09","passed","2026-07-09","","home.spec.js","",""
"","4630","Contact modal opens and closes","chromium","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","4692","Register New User","firefox","2026-07-09","passed","2026-07-09","","signup.spec.js","",""
"","6755","Filter by Laptops","webkit","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
